file_urls,image_urls,name,price,url
,https://hotline.ua/img/tx/505/505790326_s265.jpg,Acer Nitro V 16 ANV16-41 Black (NH.QRVEP.00J),32950.0,https://hotline.ua/ua/computer-noutbuki-netbuki/acer-nitro-v16-anv16-41-black-nhqrvep00j/
,https://hotline.ua/img/tx/402/402780331_s265.jpg,Acer Aspire 3 A315-24P (NX.KDEEP.008),16884.0,https://hotline.ua/ua/computer-noutbuki-netbuki/acer-aspire-3-a315-24p-nxkdeep008/
,https://hotline.ua/img/tx/492/492290077_s265.jpg,"Apple MacBook Air 13,6"" Late 2024 Silver (MC8H4)",45626.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-air-136-late-2024-silver-mc8h4/
,https://hotline.ua/img/tx/447/447683645_s265.jpg,"Apple MacBook Air 15"" M3 2024 Midnight (MRYU3)",44935.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-air-15-m3-2024-midnight-mryu3/
,https://hotline.ua/img/tx/510/510130620_s265.jpg,"ASUS TUF Gaming F17 FX707VV Mecha Gray (FX707VV-HX142, 90NR0CH5-M00720)",57989.0,https://hotline.ua/ua/computer-noutbuki-netbuki/asus-tuf-gaming-f17-fx707vv-mecha-gray-fx707vv-hx142-90nr0ch5-m00720/
,https://hotline.ua/img/tx/473/473173703_s265.jpg,HP Victus 15-fb2082wm (A14MNUA),30786.0,https://hotline.ua/ua/computer-noutbuki-netbuki/hp-victus-15-fb2082wm-a14mnua/
,https://hotline.ua/img/tx/391/391927407_s265.jpg,"Apple MacBook Air 15"" M2 Midnight 2023 (MQKW3)",39990.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-air-15-m2-midnight-2023-mqkw3/
,https://hotline.ua/img/tx/420/420664627_s265.jpg,"Apple MacBook Pro 14"" Space Gray Late 2023 (MTL73)",48599.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-pro-14-space-gray-late-2023-mtl73/
,https://hotline.ua/img/tx/302/302348312_s265.jpg,"Apple MacBook Pro 14” Space Gray 2021 (MKGP3, Z15G0016D)",55999.0,https://hotline.ua/ua/computer-noutbuki-netbuki/apple-macbook-pro-14-space-gray-2021-mkgp3/
,https://hotline.ua/img/tx/511/511775506_s265.jpg,MSI Katana 17 B12UCRK (B12UCRK-1055XPL),31460.0,https://hotline.ua/ua/computer-noutbuki-netbuki/msi-katana-17-b12ucrk-b12ucrk-1055xpl/
